player_name,game_id,duration_sec,btn_press_rate,btn_variety,btn_hold_avg_ms,lx_mean,ly_mean,lx_std,ly_std,lx_direction_changes,rx_mean,ry_mean,rx_std,ry_std,lt_mean,rt_mean,lt_brutality,rt_brutality,reaction_time_avg_ms,input_regularity,source,score
Nico,labyrinth,89.93206286430359,0.0,0.0,0.0,0.08194820255121762,0.06107460378817163,0.38957569668509556,0.3864491562518781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,548
Nico,labyrinth,89.92436408996582,0.0,0.0,0.0,0.0869047619047619,0.06626984126984127,0.4013705968417097,0.3973787808120325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,616
Nico,labyrinth,89.94519710540771,0.0,0.0,0.0,0.08651911468812877,0.06961770623742455,0.47657327733396254,0.4026852207999125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,658
Nico,labyrinth,89.9246838092804,0.0,0.0,0.0,0.0544189852700491,0.04746317512274959,0.38366944126851066,0.4037945385110182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,383
Nico,shooter,31.14808988571167,0.19262818432896378,0.16666666666666666,276.7526149749756,0.02154199131990571,-0.012824943322226261,0.5060705199687111,0.47008337342607515,0.03210469738816063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3390211767329737,keyboard,2120
Nico,labyrinth,89.89790940284729,0.0,0.0,0.0,0.1003584229390681,0.05734767025089606,0.46831492390139284,0.42882125466487553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,674
Nico,shooter,34.72654128074646,0.028796418045652965,0.16666666666666666,0.0,-0.006122448979591836,0.0,0.19681978005925604,0.43330716823151716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,2650
Nico,reflex,59.85884141921997,0.13364775879927562,0.16666666666666666,236.03159189224243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05094447624499141,0.0,0.016036655211912942,0.0,0.0,5.972454844626679,keyboard,-110
Nico,labyrinth,89.88535022735596,0.0,0.0,0.0,0.15568829104411674,0.09090074371555132,0.48727357357205664,0.4476644290012928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,663
momo,shooter,34.438817262649536,0.17422201100115225,0.16666666666666666,4573.444032669067,-0.0060778237105558325,0.00045895859097555206,0.24239951827943892,0.4315838406282152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7121198417294776,keyboard,3010
momo,shooter,14.894152879714966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,0
momo,shooter,7.990070819854736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,0
momo,shooter,59.932753801345825,0.0667414685008213,0.16666666666666666,13985.414743423462,-0.022378377351502037,-0.015517550250307922,0.262271879056556,0.41539538187284264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.714432576686818,keyboard,8425
diaz,reflex,8.786721467971802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,-10
diaz,reflex,5.077908992767334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keyboard,-5
